"","image","specie","group","id","length","area","width","depth","tip_count"
"178","dicot-sim-114-7-20.rsml.jpg","dicot","114","7",48.209198,228.3968,2.8532667,16.569267,28
"179","dicot-sim-114-8-20.rsml.jpg","dicot","114","8",47.0916,235.1786,3.2173333,16.569267,28
"180","dicot-sim-114-9-20.rsml.jpg","dicot","114","9",40.165867,207.45027,2.9887333,16.569267,24
"181","dicot-sim-115-1-20.rsml.jpg","dicot","115","1",56.9214,163.88927,3.0310667,26.043467,37
"182","dicot-sim-115-10-20.rsml.jpg","dicot","115","10",52.493332,156.464,2.8702,26.043467,30
"183","dicot-sim-115-2-20.rsml.jpg","dicot","115","2",55.786865,164.34647,4.080933,26.035,29
"184","dicot-sim-115-3-20.rsml.jpg","dicot","115","3",53.221466,153.29747,3.6745334,26.035,31
"185","dicot-sim-115-4-20.rsml.jpg","dicot","115","4",55.837666,153.9494,4.0301332,26.043467,30
"186","dicot-sim-115-5-20.rsml.jpg","dicot","115","5",53.864933,157.7848,3.3189332,26.043467,30
"187","dicot-sim-115-6-20.rsml.jpg","dicot","115","6",58.8772,169.76514,3.6491332,26.035,37
"188","dicot-sim-115-7-20.rsml.jpg","dicot","115","7",57.573334,165.67574,3.5221334,26.043467,35
"189","dicot-sim-115-8-20.rsml.jpg","dicot","115","8",51.773666,154.84686,3.3104665,26.035,31
"190","dicot-sim-115-9-20.rsml.jpg","dicot","115","9",59.833935,161.48473,3.8608,26.043467,33
"191","dicot-sim-116-1-20.rsml.jpg","dicot","116","1",11.980333,38.9128,0.889,10.524067,4
"192","dicot-sim-116-10-20.rsml.jpg","dicot","116","10",13.1826,40.275932,1.2869333,10.5156,6
"193","dicot-sim-116-2-20.rsml.jpg","dicot","116","2",12.276667,30.903334,0.8043333,10.5071335,5
"194","dicot-sim-116-3-20.rsml.jpg","dicot","116","3",12.0057335,31.834667,0.95673335,10.5156,4
"195","dicot-sim-116-4-20.rsml.jpg","dicot","116","4",14.723534,33.697334,1.7864666,10.5071335,8
"196","dicot-sim-116-5-20.rsml.jpg","dicot","116","5",14.494933,38.159267,1.3038666,10.524067,7
"197","dicot-sim-116-6-20.rsml.jpg","dicot","116","6",15.527866,39.988068,1.5748,10.524067,11
"198","dicot-sim-116-7-20.rsml.jpg","dicot","116","7",13.470467,33.697334,2.2690666,10.5071335,5
"199","dicot-sim-116-8-20.rsml.jpg","dicot","116","8",16.044333,43.307,2.286,10.524067,9
"200","dicot-sim-116-9-20.rsml.jpg","dicot","116","9",15.663333,42.7736,1.9388666,10.5156,9
"201","dicot-sim-117-1-20.rsml.jpg","dicot","117","1",160.95134,836.7607,3.9200666,26.6192,57
"202","dicot-sim-117-10-20.rsml.jpg","dicot","117","10",138.15907,766.2418,4.0978665,26.610733,60
"203","dicot-sim-117-2-20.rsml.jpg","dicot","117","2",150.35106,790.66815,3.9200666,26.610733,62
"204","dicot-sim-117-3-20.rsml.jpg","dicot","117","3",128.651,701.4379,4.0216665,26.610733,62
"205","dicot-sim-117-4-20.rsml.jpg","dicot","117","4",151.34166,813.54504,3.9878,26.610733,59
"206","dicot-sim-117-5-20.rsml.jpg","dicot","117","5",143.4084,822.08795,3.9962666,26.6192,59
"207","dicot-sim-117-6-20.rsml.jpg","dicot","117","6",130.75073,710.15015,3.8608,26.610733,60
"208","dicot-sim-117-7-20.rsml.jpg","dicot","117","7",132.0546,689.7455,3.9454665,26.602266,61
"209","dicot-sim-117-8-20.rsml.jpg","dicot","117","8",143.83173,806.2891,3.8269334,26.6192,62
"210","dicot-sim-117-9-20.rsml.jpg","dicot","117","9",127.7112,695.0287,4.191,26.602266,55
"211","dicot-sim-118-1-20.rsml.jpg","dicot","118","1",46.229355,147.77704,7.567761,25.54478,41
"212","dicot-sim-118-10-20.rsml.jpg","dicot","118","10",86.55473,208.2038,6.858,25.535467,45
"213","dicot-sim-118-2-20.rsml.jpg","dicot","118","2",97.5106,225.9076,7.1035333,25.535467,52
"214","dicot-sim-118-3-20.rsml.jpg","dicot","118","3",98.949936,226.88972,7.958667,25.535467,53
"215","dicot-sim-118-4-20.rsml.jpg","dicot","118","4",97.70533,223.83327,7.459133,25.535467,50
"216","dicot-sim-118-5-20.rsml.jpg","dicot","118","5",97.14653,222.41086,8.271934,25.535467,49
"217","dicot-sim-118-6-20.rsml.jpg","dicot","118","6",42.998287,156.91904,5.7202916,25.52623,49
"218","dicot-sim-118-7-20.rsml.jpg","dicot","118","7",39.864758,144.84163,2.7788277,25.532858,41
"219","dicot-sim-118-8-20.rsml.jpg","dicot","118","8",98.63041,225.12045,8.034427,25.537998,154
"220","dicot-sim-118-9-20.rsml.jpg","dicot","118","9",87.850136,206.38347,6.8664665,25.535467,46
"221","dicot-sim-119-1-20.rsml.jpg","dicot","119","1",148.64735,512.10156,10.066867,29.093246,79
"222","dicot-sim-119-10-20.rsml.jpg","dicot","119","10",133.669,504.5168,8.852002,29.090553,71
"223","dicot-sim-119-2-20.rsml.jpg","dicot","119","2",146.43483,509.15213,10.083926,29.076166,79
"224","dicot-sim-119-3-20.rsml.jpg","dicot","119","3",159.4866,613.90955,8.0602665,29.091467,77
"225","dicot-sim-119-4-20.rsml.jpg","dicot","119","4",167.2844,638.39514,8.144934,29.091467,80
"226","dicot-sim-119-5-20.rsml.jpg","dicot","119","5",140.13686,535.47345,9.177867,29.08466,83
"227","dicot-sim-119-6-20.rsml.jpg","dicot","119","6",137.72646,526.0929,9.398407,29.09527,74
"228","dicot-sim-119-7-20.rsml.jpg","dicot","119","7",160.55249,478.35666,11.39869,29.090647,77
"229","dicot-sim-119-8-20.rsml.jpg","dicot","119","8",143.85663,416.4767,12.362484,29.09404,75
"230","dicot-sim-119-9-20.rsml.jpg","dicot","119","9",144.30252,418.83862,11.090072,29.071062,67
"231","dicot-sim-12-1-20.rsml.jpg","dicot","12","1",44.915665,143.383,3.5729332,12.539133,30
"232","dicot-sim-12-10-20.rsml.jpg","dicot","12","10",43.908134,141.1224,2.8702,12.539133,28
"233","dicot-sim-12-2-20.rsml.jpg","dicot","12","2",42.688934,135.64447,2.9802666,12.539133,33
"234","dicot-sim-12-3-20.rsml.jpg","dicot","12","3",40.3606,132.08,3.0818667,12.539133,28
"235","dicot-sim-12-4-20.rsml.jpg","dicot","12","4",42.3926,136.33873,3.5729332,12.539133,26
"236","dicot-sim-12-5-20.rsml.jpg","dicot","12","5",37.939133,124.45153,2.9718,12.539133,28
