"","image","specie","group","id","tree_size","tree_magnitude","tree_altitude","tree_index"
"218","dicot-sim-118-7-20.rsml","dicot","118","7",89,45,45,1
"219","dicot-sim-118-8-20.rsml","dicot","118","8",107,54,54,1
"220","dicot-sim-118-9-20.rsml","dicot","118","9",97,49,49,1
"221","dicot-sim-119-1-20.rsml","dicot","119","1",163,82,82,1
"222","dicot-sim-119-10-20.rsml","dicot","119","10",143,72,72,1
"223","dicot-sim-119-2-20.rsml","dicot","119","2",169,85,85,1
"224","dicot-sim-119-3-20.rsml","dicot","119","3",157,79,79,1
"225","dicot-sim-119-4-20.rsml","dicot","119","4",163,82,82,1
"226","dicot-sim-119-5-20.rsml","dicot","119","5",159,80,80,1
"227","dicot-sim-119-6-20.rsml","dicot","119","6",155,78,78,1
"228","dicot-sim-119-7-20.rsml","dicot","119","7",165,83,83,1
"229","dicot-sim-119-8-20.rsml","dicot","119","8",155,78,78,1
"230","dicot-sim-119-9-20.rsml","dicot","119","9",147,74,74,1
"231","dicot-sim-12-1-20.rsml","dicot","12","1",61,31,31,1
"232","dicot-sim-12-10-20.rsml","dicot","12","10",63,32,32,1
"233","dicot-sim-12-2-20.rsml","dicot","12","2",65,33,33,1
"234","dicot-sim-12-3-20.rsml","dicot","12","3",53,27,27,1
"235","dicot-sim-12-4-20.rsml","dicot","12","4",57,29,29,1
"236","dicot-sim-12-5-20.rsml","dicot","12","5",55,28,28,1
"237","dicot-sim-12-6-20.rsml","dicot","12","6",59,30,30,1
"238","dicot-sim-12-7-20.rsml","dicot","12","7",55,28,28,1
"239","dicot-sim-12-8-20.rsml","dicot","12","8",53,27,27,1
"240","dicot-sim-12-9-20.rsml","dicot","12","9",65,33,33,1
"241","dicot-sim-120-1-17.rsml","dicot","120","1",245,123,123,1
"242","dicot-sim-120-10-17.rsml","dicot","120","10",247,124,124,1
"243","dicot-sim-120-2-17.rsml","dicot","120","2",243,122,122,1
"244","dicot-sim-120-3-17.rsml","dicot","120","3",259,130,130,1
"245","dicot-sim-120-4-17.rsml","dicot","120","4",247,124,124,1
"246","dicot-sim-120-5-17.rsml","dicot","120","5",253,127,127,1
"247","dicot-sim-120-6-17.rsml","dicot","120","6",249,125,125,1
"248","dicot-sim-120-7-17.rsml","dicot","120","7",247,124,124,1
"249","dicot-sim-120-8-17.rsml","dicot","120","8",249,125,125,1
"250","dicot-sim-120-9-17.rsml","dicot","120","9",243,122,122,1
"251","dicot-sim-121-1-20.rsml","dicot","121","1",45,23,23,1
"252","dicot-sim-121-10-20.rsml","dicot","121","10",65,33,33,1
"253","dicot-sim-121-2-20.rsml","dicot","121","2",63,32,32,1
"254","dicot-sim-121-3-20.rsml","dicot","121","3",59,30,30,1
"255","dicot-sim-121-4-20.rsml","dicot","121","4",47,24,24,1
"256","dicot-sim-121-5-20.rsml","dicot","121","5",55,28,28,1
"257","dicot-sim-121-6-20.rsml","dicot","121","6",61,31,31,1
"258","dicot-sim-121-7-20.rsml","dicot","121","7",55,28,28,1
"259","dicot-sim-121-8-20.rsml","dicot","121","8",63,32,32,1
"260","dicot-sim-121-9-20.rsml","dicot","121","9",53,27,27,1
"261","dicot-sim-122-1-20.rsml","dicot","122","1",167,84,84,1
"262","dicot-sim-122-10-20.rsml","dicot","122","10",161,81,81,1
"263","dicot-sim-122-2-20.rsml","dicot","122","2",165,83,83,1
"264","dicot-sim-122-3-20.rsml","dicot","122","3",173,87,87,1
"265","dicot-sim-122-4-20.rsml","dicot","122","4",183,92,92,1
"266","dicot-sim-122-5-20.rsml","dicot","122","5",171,86,86,1
"267","dicot-sim-122-6-20.rsml","dicot","122","6",153,77,77,1
"268","dicot-sim-122-7-20.rsml","dicot","122","7",173,87,87,1
"269","dicot-sim-122-8-20.rsml","dicot","122","8",175,88,88,1
"270","dicot-sim-122-9-20.rsml","dicot","122","9",165,83,83,1
"271","dicot-sim-123-1-20.rsml","dicot","123","1",143,72,72,1
"272","dicot-sim-123-10-20.rsml","dicot","123","10",119,60,60,1
"273","dicot-sim-123-2-20.rsml","dicot","123","2",147,74,74,1
"274","dicot-sim-123-3-20.rsml","dicot","123","3",125,63,63,1
"275","dicot-sim-123-4-20.rsml","dicot","123","4",129,65,65,1
"276","dicot-sim-123-5-20.rsml","dicot","123","5",119,60,60,1
"277","dicot-sim-123-6-20.rsml","dicot","123","6",137,69,69,1
"278","dicot-sim-123-7-20.rsml","dicot","123","7",141,71,71,1
"279","dicot-sim-123-8-20.rsml","dicot","123","8",141,71,71,1
"280","dicot-sim-123-9-20.rsml","dicot","123","9",127,64,64,1
"281","dicot-sim-124-1-20.rsml","dicot","124","1",33,17,17,1
"282","dicot-sim-124-10-20.rsml","dicot","124","10",23,12,12,1
"283","dicot-sim-124-2-20.rsml","dicot","124","2",33,17,17,1
"284","dicot-sim-124-3-20.rsml","dicot","124","3",33,17,17,1
"285","dicot-sim-124-4-20.rsml","dicot","124","4",11,6,6,1
"286","dicot-sim-124-5-20.rsml","dicot","124","5",29,15,15,1
"287","dicot-sim-124-6-20.rsml","dicot","124","6",19,10,10,1
"288","dicot-sim-124-7-20.rsml","dicot","124","7",31,16,16,1
"289","dicot-sim-124-8-20.rsml","dicot","124","8",27,14,14,1
"290","dicot-sim-124-9-20.rsml","dicot","124","9",25,13,13,1
"291","dicot-sim-125-1-20.rsml","dicot","125","1",149,75,75,1
"292","dicot-sim-125-10-20.rsml","dicot","125","10",155,78,78,1
"293","dicot-sim-125-2-20.rsml","dicot","125","2",173,87,87,1
"294","dicot-sim-125-3-20.rsml","dicot","125","3",147,74,74,1
"295","dicot-sim-125-4-20.rsml","dicot","125","4",157,79,79,1
"296","dicot-sim-125-5-20.rsml","dicot","125","5",147,74,74,1
"297","dicot-sim-125-6-20.rsml","dicot","125","6",155,78,78,1
"298","dicot-sim-125-7-20.rsml","dicot","125","7",157,79,79,1
"299","dicot-sim-125-8-20.rsml","dicot","125","8",163,82,82,1
"300","dicot-sim-125-9-20.rsml","dicot","125","9",163,82,82,1
"301","dicot-sim-126-1-20.rsml","dicot","126","1",107,54,54,1
"302","dicot-sim-126-10-20.rsml","dicot","126","10",105,53,53,1
"303","dicot-sim-126-2-20.rsml","dicot","126","2",103,52,52,1
"304","dicot-sim-126-3-20.rsml","dicot","126","3",103,52,52,1
"305","dicot-sim-126-4-20.rsml","dicot","126","4",95,48,48,1
"306","dicot-sim-126-5-20.rsml","dicot","126","5",103,52,52,1
"307","dicot-sim-126-6-20.rsml","dicot","126","6",99,50,50,1
"308","dicot-sim-126-7-20.rsml","dicot","126","7",109,55,55,1
"309","dicot-sim-126-8-20.rsml","dicot","126","8",107,54,54,1
"310","dicot-sim-126-9-20.rsml","dicot","126","9",109,55,55,1
"311","dicot-sim-127-1-20.rsml","dicot","127","1",17,9,9,1
"312","dicot-sim-127-10-20.rsml","dicot","127","10",25,13,13,1
"313","dicot-sim-127-2-20.rsml","dicot","127","2",19,10,10,1
"314","dicot-sim-127-3-20.rsml","dicot","127","3",31,16,16,1
"315","dicot-sim-127-4-20.rsml","dicot","127","4",31,16,16,1
"316","dicot-sim-127-5-20.rsml","dicot","127","5",21,11,11,1
"317","dicot-sim-127-6-20.rsml","dicot","127","6",19,10,10,1
"318","dicot-sim-127-7-20.rsml","dicot","127","7",21,11,11,1
"319","dicot-sim-127-8-20.rsml","dicot","127","8",25,13,13,1
"320","dicot-sim-127-9-20.rsml","dicot","127","9",19,10,10,1
"321","dicot-sim-128-1-20.rsml","dicot","128","1",255,128,128,1
"322","dicot-sim-128-10-20.rsml","dicot","128","10",265,133,133,1
"323","dicot-sim-128-2-20.rsml","dicot","128","2",259,130,130,1
"324","dicot-sim-128-3-20.rsml","dicot","128","3",233,117,117,1
"325","dicot-sim-128-4-20.rsml","dicot","128","4",251,126,126,1
"326","dicot-sim-128-5-20.rsml","dicot","128","5",239,120,120,1
"327","dicot-sim-128-6-20.rsml","dicot","128","6",219,110,110,1
"328","dicot-sim-128-7-20.rsml","dicot","128","7",259,130,130,1
"329","dicot-sim-128-8-20.rsml","dicot","128","8",265,133,133,1
"330","dicot-sim-128-9-20.rsml","dicot","128","9",271,136,136,1
"331","dicot-sim-129-1-20.rsml","dicot","129","1",13,7,7,1
"332","dicot-sim-129-10-20.rsml","dicot","129","10",29,15,15,1
"333","dicot-sim-129-2-20.rsml","dicot","129","2",19,10,10,1
"334","dicot-sim-129-3-20.rsml","dicot","129","3",19,10,10,1
"335","dicot-sim-129-4-20.rsml","dicot","129","4",23,12,12,1
"336","dicot-sim-129-5-20.rsml","dicot","129","5",17,9,9,1
"337","dicot-sim-129-6-20.rsml","dicot","129","6",11,6,6,1
"338","dicot-sim-129-7-20.rsml","dicot","129","7",15,8,8,1
"339","dicot-sim-129-8-20.rsml","dicot","129","8",19,10,10,1
"340","dicot-sim-129-9-20.rsml","dicot","129","9",21,11,11,1
"341","dicot-sim-13-1-20.rsml","dicot","13","1",99,50,50,1
"342","dicot-sim-13-10-20.rsml","dicot","13","10",103,52,52,1
"343","dicot-sim-13-2-20.rsml","dicot","13","2",105,53,53,1
"344","dicot-sim-13-3-20.rsml","dicot","13","3",111,56,56,1
"345","dicot-sim-13-4-20.rsml","dicot","13","4",109,55,55,1
"346","dicot-sim-13-5-20.rsml","dicot","13","5",115,58,58,1
"347","dicot-sim-13-6-20.rsml","dicot","13","6",107,54,54,1
"348","dicot-sim-13-7-20.rsml","dicot","13","7",95,48,48,1
"349","dicot-sim-13-8-20.rsml","dicot","13","8",117,59,59,1
"350","dicot-sim-13-9-20.rsml","dicot","13","9",103,52,52,1
"351","dicot-sim-130-1-20.rsml","dicot","130","1",127,64,64,1
"352","dicot-sim-130-10-20.rsml","dicot","130","10",119,60,60,1
"353","dicot-sim-130-2-20.rsml","dicot","130","2",131,66,66,1
"354","dicot-sim-130-3-20.rsml","dicot","130","3",125,63,63,1
"355","dicot-sim-130-4-20.rsml","dicot","130","4",119,60,60,1
"356","dicot-sim-130-5-20.rsml","dicot","130","5",131,66,66,1
"357","dicot-sim-130-6-20.rsml","dicot","130","6",115,58,58,1
"358","dicot-sim-130-7-20.rsml","dicot","130","7",123,62,62,1
"359","dicot-sim-130-8-20.rsml","dicot","130","8",133,67,67,1
"360","dicot-sim-130-9-20.rsml","dicot","130","9",137,69,69,1
"361","dicot-sim-131-1-20.rsml","dicot","131","1",51,26,26,1
"362","dicot-sim-131-10-20.rsml","dicot","131","10",61,31,31,1
"363","dicot-sim-131-2-20.rsml","dicot","131","2",63,32,32,1
"364","dicot-sim-131-3-20.rsml","dicot","131","3",55,28,28,1
"365","dicot-sim-131-4-20.rsml","dicot","131","4",47,24,24,1
"366","dicot-sim-131-5-20.rsml","dicot","131","5",45,23,23,1
"367","dicot-sim-131-6-20.rsml","dicot","131","6",59,30,30,1
"368","dicot-sim-131-7-20.rsml","dicot","131","7",57,29,29,1
"369","dicot-sim-131-8-20.rsml","dicot","131","8",57,29,29,1
"370","dicot-sim-131-9-20.rsml","dicot","131","9",57,29,29,1
"371","dicot-sim-132-1-20.rsml","dicot","132","1",211,106,106,1
"372","dicot-sim-132-10-20.rsml","dicot","132","10",203,102,102,1
"373","dicot-sim-132-2-20.rsml","dicot","132","2",181,91,91,1
"374","dicot-sim-132-3-20.rsml","dicot","132","3",201,101,101,1
"375","dicot-sim-132-4-20.rsml","dicot","132","4",203,102,102,1
"376","dicot-sim-132-5-20.rsml","dicot","132","5",203,102,102,1
"377","dicot-sim-132-6-20.rsml","dicot","132","6",205,103,103,1
"378","dicot-sim-132-7-20.rsml","dicot","132","7",177,89,89,1
"379","dicot-sim-132-8-20.rsml","dicot","132","8",197,99,99,1
"380","dicot-sim-132-9-20.rsml","dicot","132","9",193,97,97,1
