image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
monocot-sim-220-7-8.rsml,27307.697,61.891335,94.91134,21.428085,8,457.0,57.870754,0.33800003,1.2498083,2117,25655.0,12.68055,0.1847021,50.45969,4242,2125.0,949.0,0.44658825,0.7397901
monocot-sim-220-8-8.rsml,29931.146,68.15667,94.996,21.491789,8,457.0,57.729774,0.33800003,1.2322677,2209,28191.0,13.340568,0.187198,52.149612,4426,2217.0,1025.0,0.46233648,0.74835074
monocot-sim-220-9-8.rsml,26874.318,64.09267,94.91134,21.413006,8,457.0,57.843945,0.33800003,1.1941605,2101,25204.0,12.570947,0.18389268,51.28853,4210,2109.0,948.0,0.44950214,0.7388336
monocot-sim-221-1-22.rsml,10947.925,76.538666,189.992,22.201216,8,866.0,108.85445,0.3849998,0.35818052,650,9708.0,15.503216,0.24886268,47.204243,1308,658.0,170.0,0.25835866,0.70163715
monocot-sim-221-10-22.rsml,11482.683,73.99867,189.992,22.06577,8,866.0,108.69243,0.3849998,0.36278534,697,10223.0,15.226895,0.24796987,45.18277,1402,705.0,198.0,0.28085107,0.7219604
monocot-sim-221-2-22.rsml,11369.021,69.25733,189.992,22.217432,8,864.0,108.69991,0.3849998,0.36485514,691,10109.0,15.194534,0.24935508,45.07646,1390,699.0,195.0,0.27896994,0.6997149
monocot-sim-221-3-23.rsml,12340.704,78.82467,199.98267,22.046198,9,954.0,106.54872,0.3849998,0.36877593,756,10946.0,15.0552435,0.24663766,45.808228,1521,765.0,208.0,0.27189544,0.70857644
monocot-sim-221-4-23.rsml,11974.821,73.66,199.98267,22.253683,9,950.0,106.08651,0.3849998,0.39046288,734,10615.0,15.013682,0.24845153,45.425728,1477,743.0,178.0,0.2395693,0.7171231
monocot-sim-221-5-23.rsml,12383.029,80.433334,199.98267,22.40549,9,956.0,106.78001,0.3849998,0.36318833,737,11007.0,15.497982,0.24418163,44.54149,1483,746.0,202.0,0.2707775,0.70860153
monocot-sim-221-6-23.rsml,13586.413,64.770004,199.98267,22.270832,9,949.0,106.06001,0.3849998,0.34841925,814,12167.0,15.518277,0.24810001,45.735893,1637,823.0,200.0,0.24301337,0.7262851
monocot-sim-221-7-23.rsml,12176.82,72.72867,199.98267,22.151028,9,952.0,106.45083,0.3849998,0.36206332,731,10796.0,15.347142,0.24887171,46.29293,1471,740.0,176.0,0.23783784,0.70721525
monocot-sim-221-8-22.rsml,11068.898,81.44933,189.992,22.07153,8,867.0,108.90908,0.3849998,0.37264696,682,9802.0,14.952532,0.24700704,45.727203,1372,690.0,196.0,0.28405797,0.7072698
monocot-sim-221-9-23.rsml,12368.609,72.22067,199.98267,22.465744,9,952.0,106.34246,0.3849998,0.3552398,781,10977.0,14.611429,0.2444838,47.275383,1571,790.0,220.0,0.278481,0.7114245
monocot-sim-222-1-25.rsml,15902.49,77.47,319.95535,22.002344,17,4529.0,267.04654,0.32899758,0.48446396,964,10835.0,11.787031,0.10035685,39.885044,1945,981.0,78.0,0.0795107,0.69033945
monocot-sim-222-10-25.rsml,16313.344,73.99867,319.95535,22.039993,17,4526.0,266.7441,0.32899758,0.46379665,1039,11224.0,11.336568,0.09841888,40.977257,2095,1056.0,86.0,0.08143939,0.6784835
monocot-sim-222-2-25.rsml,16221.364,73.66,319.95535,21.551994,17,4526.0,266.73605,0.32899758,0.42953548,1054,11174.0,11.088094,0.09667341,41.758694,2125,1071.0,80.0,0.07469655,0.69045347
monocot-sim-222-3-25.rsml,16039.267,71.03534,319.95535,21.876793,17,4518.0,266.40985,0.32899758,0.45604396,1020,10987.0,11.284603,0.097606346,41.373253,2057,1037.0,89.0,0.0858245,0.6887255
monocot-sim-222-4-25.rsml,16497.83,70.527336,319.95535,21.804752,17,4522.0,266.66364,0.32899758,0.45604214,1068,11429.0,11.2027645,0.09666001,41.35139,2153,1085.0,87.0,0.08018433,0.69341177
monocot-sim-222-5-25.rsml,16346.732,76.11533,319.95535,21.85749,17,4536.0,267.43463,0.32899758,0.4676415,1075,11268.0,10.977065,0.09702153,41.029457,2167,1092.0,82.0,0.07509158,0.68375057
monocot-sim-222-6-25.rsml,16323.09,81.195335,319.95535,22.01598,17,4528.0,266.99365,0.32899758,0.420028,1008,11248.0,11.690665,0.098805845,40.436077,2033,1025.0,80.0,0.07804878,0.6904941
monocot-sim-222-7-25.rsml,15670.292,68.74934,319.95535,21.783108,17,4527.0,266.9077,0.32899758,0.51542693,1005,10617.0,11.077461,0.096982025,40.5055,2027,1022.0,87.0,0.085127205,0.6878467
