image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-369-5-25.rsml,301.36185,16.679335,154.94,21.89869,1,159.0,159.99786,0.4588689,0.09148586,9,136.0,15.707104,0.22789273,23.832155,19,10.0,10.0,1.0,0.07692308
dicot-sim-369-6-25.rsml,423.48257,15.070667,154.94,22.877844,1,159.0,159.99867,0.4438204,0.1394078,16,253.0,16.467743,0.22416298,16.277386,33,17.0,17.0,1.0,0.08108108
dicot-sim-369-7-25.rsml,316.08835,15.324667,154.94,23.475542,1,159.0,159.9995,0.4366841,0.09939207,11,150.0,14.189893,0.22356978,28.216917,23,12.0,12.0,1.0,0.045454547
dicot-sim-369-8-25.rsml,299.2122,13.631333,154.94,22.831923,1,159.0,159.99925,0.47640648,0.08444858,9,133.0,15.468105,0.22763404,27.854473,19,10.0,10.0,1.0,0.0
dicot-sim-369-9-25.rsml,378.37643,17.78,154.94,22.906204,1,159.0,159.99924,0.47041962,0.1313643,14,211.0,15.598374,0.22496897,23.082624,29,15.0,15.0,1.0,0.13114753
dicot-sim-37-1-12.rsml,4410.742,39.96267,164.93068,22.915756,1,169.0,169.99998,2.4428854,1.2365835,153,4148.0,27.71727,0.37809277,33.616966,307,154.0,154.0,1.0,0.67431194
dicot-sim-37-10-12.rsml,4310.4683,42.841335,164.93068,23.02522,1,169.0,169.99959,2.3976738,1.1364782,151,4052.0,27.420317,0.36453283,32.816772,303,152.0,152.0,1.0,0.65666044
dicot-sim-37-2-12.rsml,4735.474,43.264668,164.93068,22.64167,1,169.0,169.9986,2.4614077,1.2878181,153,4481.0,29.839712,0.3734125,34.261875,307,154.0,154.0,1.0,0.68107176
dicot-sim-37-3-12.rsml,4398.841,40.64,164.93068,23.017433,1,169.0,169.99965,2.401797,1.2634963,151,4140.0,28.005568,0.37387484,31.773878,303,152.0,152.0,1.0,0.6347032
dicot-sim-37-4-12.rsml,4105.26,39.96267,164.93068,23.035494,1,169.0,169.9998,2.3565705,1.2216572,146,3855.0,26.953838,0.36744,34.494328,293,147.0,147.0,1.0,0.66600984
