"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"262","dicot-sim-122-10-20.rsml","dicot","122","10",0.07581177,0.018403485
"263","dicot-sim-122-2-20.rsml","dicot","122","2",0.07613397,0.018550891
"264","dicot-sim-122-3-20.rsml","dicot","122","3",0.07470214,0.01843592
"265","dicot-sim-122-4-20.rsml","dicot","122","4",0.07450824,0.018063748
"266","dicot-sim-122-5-20.rsml","dicot","122","5",0.075324036,0.018550903
"267","dicot-sim-122-6-20.rsml","dicot","122","6",0.07457934,0.018386355
"268","dicot-sim-122-7-20.rsml","dicot","122","7",0.07750212,0.018521143
"269","dicot-sim-122-8-20.rsml","dicot","122","8",0.0755627,0.01826301
"270","dicot-sim-122-9-20.rsml","dicot","122","9",0.07629506,0.018436091
"271","dicot-sim-123-1-20.rsml","dicot","123","1",0.12612866,0.028518056
"272","dicot-sim-123-10-20.rsml","dicot","123","10",0.11727287,0.028258963
"273","dicot-sim-123-2-20.rsml","dicot","123","2",0.12899245,0.028539471
"274","dicot-sim-123-3-20.rsml","dicot","123","3",0.11627282,0.028326567
"275","dicot-sim-123-4-20.rsml","dicot","123","4",0.12146292,0.02899842
"276","dicot-sim-123-5-20.rsml","dicot","123","5",0.11775655,0.029041074
"277","dicot-sim-123-6-20.rsml","dicot","123","6",0.1174188,0.027529411
"278","dicot-sim-123-7-20.rsml","dicot","123","7",0.12001376,0.028831849
"279","dicot-sim-123-8-20.rsml","dicot","123","8",0.12635133,0.028022146
"280","dicot-sim-123-9-20.rsml","dicot","123","9",0.11272148,0.027037507
"281","dicot-sim-124-1-20.rsml","dicot","124","1",0.06104909,0.025157107
"282","dicot-sim-124-10-20.rsml","dicot","124","10",0.061627522,0.025650196
"283","dicot-sim-124-2-20.rsml","dicot","124","2",0.065318756,0.025798207
"284","dicot-sim-124-3-20.rsml","dicot","124","3",0.066933766,0.025705364
"285","dicot-sim-124-4-20.rsml","dicot","124","4",0.058990218,0.0247193
"286","dicot-sim-124-5-20.rsml","dicot","124","5",0.060819685,0.025353203
"287","dicot-sim-124-6-20.rsml","dicot","124","6",0.05869955,0.02535799
"288","dicot-sim-124-7-20.rsml","dicot","124","7",0.06533284,0.025196034
"289","dicot-sim-124-8-20.rsml","dicot","124","8",0.06144428,0.025160268
"290","dicot-sim-124-9-20.rsml","dicot","124","9",0.061255597,0.026123231
"291","dicot-sim-125-1-20.rsml","dicot","125","1",0.13935801,0.031736337
"292","dicot-sim-125-10-20.rsml","dicot","125","10",0.13346621,0.029876975
"293","dicot-sim-125-2-20.rsml","dicot","125","2",0.13882093,0.031081771
"294","dicot-sim-125-3-20.rsml","dicot","125","3",0.13139546,0.031236012
"295","dicot-sim-125-4-20.rsml","dicot","125","4",0.13216531,0.030183196
"296","dicot-sim-125-5-20.rsml","dicot","125","5",0.13227245,0.029843973
"297","dicot-sim-125-6-20.rsml","dicot","125","6",0.14115831,0.031091778
"298","dicot-sim-125-7-20.rsml","dicot","125","7",0.1383217,0.030431949
"299","dicot-sim-125-8-20.rsml","dicot","125","8",0.14219157,0.030918375
"300","dicot-sim-125-9-20.rsml","dicot","125","9",0.13778603,0.029918859
"301","dicot-sim-126-1-20.rsml","dicot","126","1",0.03663941,0.009993453
"302","dicot-sim-126-10-20.rsml","dicot","126","10",0.036309775,0.010090459
"303","dicot-sim-126-2-20.rsml","dicot","126","2",0.036149226,0.01012897
"304","dicot-sim-126-3-20.rsml","dicot","126","3",0.03571961,0.010127676
"305","dicot-sim-126-4-20.rsml","dicot","126","4",0.0364975,0.010370308
"306","dicot-sim-126-5-20.rsml","dicot","126","5",0.035769865,0.010116439
"307","dicot-sim-126-6-20.rsml","dicot","126","6",0.035909455,0.010249029
"308","dicot-sim-126-7-20.rsml","dicot","126","7",0.036324512,0.010326643
"309","dicot-sim-126-8-20.rsml","dicot","126","8",0.035900645,0.009874625
"310","dicot-sim-126-9-20.rsml","dicot","126","9",0.03633669,0.010203372
"311","dicot-sim-127-1-20.rsml","dicot","127","1",0.03075476,0.009930681
"312","dicot-sim-127-10-20.rsml","dicot","127","10",0.029993184,0.010984509
"313","dicot-sim-127-2-20.rsml","dicot","127","2",0.02989794,0.011682819
"314","dicot-sim-127-3-20.rsml","dicot","127","3",0.030055955,0.010848286
"315","dicot-sim-127-4-20.rsml","dicot","127","4",0.031093758,0.010846186
"316","dicot-sim-127-5-20.rsml","dicot","127","5",0.030397702,0.0111055
"317","dicot-sim-127-6-20.rsml","dicot","127","6",0.029983765,0.011449342
"318","dicot-sim-127-7-20.rsml","dicot","127","7",0.03033622,0.010228055
"319","dicot-sim-127-8-20.rsml","dicot","127","8",0.0292868,0.011035949
