"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_y","tip_count","cross_vert_mean","cross_vert_max","convexhull","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","exploration"
"58","dicot-sim-103-7-20.rsml.jpg",0.0762,0.016086332,0.008466667,107.65366,305.8414,3.3866665,16.5862,0.20418581,0.48589897,0.39188695,113,32.06701,814,34335,"dicot","103","7",-26.6807854797537,-25.605711162068,27.969951631515,0.632042288732394,10.388889,0.00890756953545944
"59","dicot-sim-103-8-20.rsml.jpg",0.0762,0.016554188,0.008466667,103.420334,293.64093,2.9802666,16.5862,0.1796835,0.45633623,0.38264754,109,36.08772,1006,24402,"dicot","103","8",-102.176829100796,19.3717798238749,-50.1353105571569,0.636761430660431,9.740741,0.0120334779936071
"60","dicot-sim-103-9-20.rsml.jpg",0.0762,0.016179508,0.008466667,112.4966,309.28732,2.8956,16.577734,0.17466803,0.4746637,0.38912693,117,39.23952,880,27006,"dicot","103","9",12.9434851601457,19.0361580068802,-61.1346270716061,0.658896685119077,9.648149,0.0114525409168333
"61","dicot-sim-104-1-20.rsml.jpg",0.12730479,0.019531501,0.010608733,201.59775,778.76587,10.120731,30.118193,0.33603382,0.46438712,0.35401204,54,20.7897,1091,183492,"dicot","104","1",400.715831301621,-61.7336820268666,-123.928877980609,0.705042241819401,10.238095,0.00424414072548122
"62","dicot-sim-104-10-20.rsml.jpg",0.113385595,0.018701075,0.0125984,235.4263,788.2189,12.056668,30.122774,0.40025094,0.48714736,0.36060175,55,21.141026,1204,197057,"dicot","104","10",636.737349369457,-4.32625798843983,81.8917709833639,0.631695857803648,12.115385,0.00399995382046819
"63","dicot-sim-104-2-20.rsml.jpg",0.108204,0.01847952,0.012022667,227.10817,776.71234,11.457602,30.11678,0.38043913,0.5035752,0.3670184,57,19.87473,751,231235,"dicot","104","2",541.132822171239,-76.5196833202908,39.3189700039638,0.695058748172148,12.418181,0.00335897394425584
"64","dicot-sim-104-3-20.rsml.jpg",0.11497734,0.019968992,0.011497733,193.2424,712.1811,11.026326,30.112564,0.3661703,0.43418986,0.35875744,44,18.171974,860,307567,"dicot","104","3",339.205319844568,-23.8087734111423,-38.1259686838766,0.622660122538476,7.224138,0.00231553157523401
"65","dicot-sim-104-4-20.rsml.jpg",0.11057466,0.019002812,0.011057466,230.02847,859.0877,10.659398,30.109482,0.3540213,0.51611084,0.36713204,57,21.023207,619,182712,"dicot","104","4",457.712251781993,-100.200543946684,4.49974278055001,0.712125360612087,11.183333,0.00470186796707386
"66","dicot-sim-104-5-20.rsml.jpg",0.117906794,0.019759888,0.010718799,214.27953,849.9258,10.332923,30.109108,0.34318262,0.5180929,0.36992162,52,21.803383,1292,332680,"dicot","104","5",225.737106928904,26.6300268482483,-147.228747322063,0.678487036516534,13.193548,0.0025547847781652
"67","dicot-sim-104-6-20.rsml.jpg",0.106426,0.02015418,0.0106426,195.78128,789.4894,10.216896,30.107916,0.33934253,0.51189923,0.37463048,57,20.575693,1356,295611,"dicot","104","6",290.273644484075,-58.6199418218244,5.85885888942246,0.668414168669236,12.428572,0.00267070372888695
"68","dicot-sim-104-7-20.rsml.jpg",0.1083564,0.019690797,0.012039601,197.02806,699.80176,11.4616995,30.11104,0.38064775,0.47632158,0.36140755,47,18.247845,1007,203249,"dicot","104","7",412.407205173042,25.3583246582106,-95.3498559180917,0.662976279046698,10.2,0.00344307602989437
"69","dicot-sim-104-8-20.rsml.jpg",0.13250333,0.020007161,0.013250332,219.35925,705.4477,12.707069,30.118006,0.42190936,0.5377905,0.35713786,53,18.144989,1015,238183,"dicot","104","8",645.560804690189,-15.4895374640894,-77.731893108563,0.672368434667243,11.04,0.00296178862471293
"70","dicot-sim-104-9-20.rsml.jpg",0.11599333,0.019437715,0.011599333,215.5388,777.4105,11.030966,30.111868,0.36633283,0.46408007,0.3424564,56,20.535637,1181,213388,"dicot","104","9",470.429885806593,20.744498339078,-162.938868248321,0.652890185278443,11.736842,0.00364317815434795
"71","dicot-sim-105-1-20.rsml.jpg",0.0508,0.01354232,0.008466667,108.847466,259.19852,7.0442667,21.065067,0.33440515,0.51933086,0.38324425,59,16.317734,1353,96720,"dicot","105","1",89.7191353942651,-19.1971094815345,69.0684682461715,0.635710810181211,2.2380953,0.00267988544251447
"72","dicot-sim-105-10-20.rsml.jpg",0.0508,0.01361653,0.008466667,106.0958,261.7978,5.1392665,21.0566,0.24406916,0.51223195,0.38029972,56,20.643835,781,90290,"dicot","105","10",-13.458790446348,26.3065892399502,39.2380288612716,0.599999991906667,6.046875,0.00289952154169897
"73","dicot-sim-105-2-20.rsml.jpg",0.0508,0.01379363,0.008466667,95.9612,239.30186,5.6811333,21.0566,0.269803,0.5001057,0.3842301,57,16.627274,926,66278,"dicot","105","2",-6.44997259517868,-24.5840803449282,28.6548627261088,0.670047850797754,3.984375,0.00361057756721687
"74","dicot-sim-105-3-20.rsml.jpg",0.0508,0.014166945,0.008466667,94.58113,245.55873,6.3923335,21.0566,0.30357862,0.47646472,0.39550373,51,14.705722,728,137298,"dicot","105","3",31.4136672081414,6.44282028218495,53.181187290221,0.611077353871296,4.5625,0.0017885091552681
"75","dicot-sim-105-4-20.rsml.jpg",0.0508,0.014041052,0.008466667,92.769264,236.44012,5.7404,21.0566,0.2726176,0.5220721,0.38857952,55,15.818182,838,126495,"dicot","105","4",50.8267973503132,-127.539085190965,-97.5470396328371,0.852449242845246,3.734375,0.0018691657377762
"76","dicot-sim-105-5-20.rsml.jpg",0.0508,0.0141183715,0.008466667,95.44473,242.55307,5.7912,21.0566,0.27503017,0.49982235,0.3931366,55,17.926828,1482,69906,"dicot","105","5",47.6293491500455,-145.367242345851,113.668347073226,0.714285719803178,4.0625,0.00346970317283209
"77","dicot-sim-105-6-20.rsml.jpg",0.0508,0.013631542,0.008466667,109.965065,276.24194,6.5024,21.065067,0.30868167,0.46413454,0.4009545,58,16.837399,909,129065,"dicot","105","6",140.569854902428,-64.7253366866801,-95.7610187127888,0.744956051566057,7.047619,0.00214033192577383
"78","dicot-sim-105-7-20.rsml.jpg",0.0508,0.0137891015,0.008466667,104.25853,263.6012,6.341533,21.065067,0.30104503,0.47080076,0.38629395,58,17.09836,1363,127094,"dicot","105","7",11.4655371201761,-13.1930339932172,112.043119540986,0.567436158676955,3.3492064,0.00207406486537523
"79","dicot-sim-105-8-20.rsml.jpg",0.0508,0.013769844,0.008466667,105.09673,260.79025,6.536267,21.065067,0.31028938,0.49121577,0.38569808,57,15.823056,673,237052,"dicot","105","8",70.6722166466774,-20.3626449185223,28.7747243520999,0.660225404932222,5.825397,0.00110013942088656
"80","dicot-sim-105-9-20.rsml.jpg",0.0508,0.01401233,0.008466667,96.27447,241.554,5.7742667,21.0566,0.27422598,0.47122335,0.39487082,57,15.737313,736,55939,"dicot","105","9",53.0496286238302,20.1732881217793,24.6179873044538,0.569803489152692,4.890625,0.0043181680044334
"81","dicot-sim-106-1-8.rsml.jpg",0.646176,0.066726215,0.017949333,131.41605,1752.6447,8.965692,14.951795,0.59963983,0.5115169,0.31271142,63,14.991968,240,135444,"dicot","106","1",852.398739989592,-181.866793658179,-80.2992284679444,0.738399041238241,13.142858,0.0129399951271374
"82","dicot-sim-106-10-8.rsml.jpg",0.63080055,0.07242939,0.018829867,126.885056,1655.8137,9.405519,14.941499,0.6294896,0.50143445,0.3211795,64,13.439759,143,88840,"dicot","106","10",868.784479700499,0.224308693311199,30.7767839414872,0.65597254927637,12.461538,0.0186381551103107
"83","dicot-sim-106-2-8.rsml.jpg",0.61642414,0.06864781,0.020895734,121.87437,1414.9232,10.353836,14.950897,0.6925227,0.43266508,0.31092328,62,11.699187,219,81935,"dicot","106","2",766.931122413412,-114.900674303188,-167.172586295808,0.74658520898718,9.75,0.0172688496979313
"84","dicot-sim-106-3-8.rsml.jpg",0.686435,0.06799858,0.019896666,124.33426,1562.2563,9.828953,14.942396,0.6577896,0.51043993,0.30851838,61,12.653688,127,114920,"dicot","106","3",997.708063940425,-83.0156685748506,-71.3663342721154,0.709472535930965,12.6,0.0135942942916812
"85","dicot-sim-106-4-8.rsml.jpg",0.6265333,0.06888336,0.016933333,118.93127,1658.6877,8.017933,14.943666,0.5365439,0.53700376,0.3472916,58,14.817021,146,204820,"dicot","106","4",638.863174122835,-32.5682170426671,120.796673911452,0.624005320281312,17.62069,0.00809827018845816
"86","dicot-sim-106-5-8.rsml.jpg",0.6698573,0.07286418,0.021962535,138.24318,1560.9103,10.937343,14.945505,0.73181486,0.55261236,0.30736357,67,12.949596,159,106666,"dicot","106","5",1050.90570794445,-282.012635576828,-64.3556247704677,0.748405772030951,12.695652,0.0146336255226595
"87","dicot-sim-106-6-8.rsml.jpg",0.6104975,0.066649325,0.019693466,131.95607,1624.4746,9.82704,14.947341,0.657444,0.49240196,0.30798617,61,13.197183,126,89006,"dicot","106","6",928.022121576191,-175.351478564425,-53.2385056447697,0.741128584142227,14.44,0.0182512931712469
"88","dicot-sim-106-7-8.rsml.jpg",0.6350847,0.06777418,0.019541066,146.06947,1713.3412,9.750993,14.948916,0.6522876,0.4669878,0.31464612,67,14.969879,318,100528,"dicot","106","7",876.487457729184,-59.9599204590161,36.1798074052131,0.650946147571862,14.923077,0.0170434227279962
"89","dicot-sim-106-8-8.rsml.jpg",0.6541008,0.06599176,0.0112776,141.86093,1543.9034,11.221212,14.94282,0.7509434,0.45563912,0.3120513,62,12.826612,233,82920,"dicot","106","8",1043.09651873017,-140.60767647764,-253.598191580719,0.734042507183279,11.545455,0.0186191919922817
"90","dicot-sim-106-9-8.rsml.jpg",0.6288786,0.06829707,0.019964399,134.22066,1646.6736,9.952253,14.943353,0.66599864,0.5054563,0.3227686,64,13.569416,469,183886,"dicot","106","9",925.020454265665,-0.792973567662037,-240.456244548792,0.652907427646016,11.52,0.00895486116398203
