"","image","tot_root_length","width","depth","direction","n_primary","tot_prim_length","mean_prim_length","mean_prim_diameter","mean_lat_density","n_laterals","tot_lat_length","mean_lat_length","mean_lat_diameter","mean_lat_angle","tree_size","tree_magnitude","tree_altitude","tree_index","specie","group","id"
"121","dicot-sim-11-1-20.rsml",23.954828,1.7864666,10.998199,2.179804,1,11,11.499558,0.06858301,2.9455042,19,2,0.65554047,0.016333345,62.358475,39,20,20,1,"dicot","11","1"
"122","dicot-sim-11-10-20.rsml",36.006973,2.1166666,10.998199,2.329568,1,11,11.499568,0.07404361,3.8004344,33,7,0.7426487,0.016213173,58.19195,67,34,34,1,"dicot","11","10"
"123","dicot-sim-11-2-20.rsml",38.559135,2.5738666,10.998199,2.1849852,1,11,11.49973,0.07261973,3.5421374,29,12,0.933083,0.016778138,67.132355,59,30,30,1,"dicot","11","2"
"124","dicot-sim-11-3-20.rsml",35.93767,2.6839333,10.998199,2.2368324,1,11,11.499878,0.07387583,3.4379203,29,7,0.84268254,0.016708136,64.44652,59,30,30,1,"dicot","11","3"
"125","dicot-sim-11-4-20.rsml",31.732529,1.8880666,10.998199,2.2597973,1,11,11.499989,0.07455864,3.0502121,28,5,0.7225906,0.016549204,56.02685,57,29,29,1,"dicot","11","4"
"126","dicot-sim-11-5-20.rsml",33.473618,2.3791332,10.998199,2.107656,1,11,11.499276,0.07561438,3.200951,27,8,0.81386477,0.016875954,66.484436,55,28,28,1,"dicot","11","5"
"127","dicot-sim-11-6-20.rsml",35.3892,1.9134667,10.998199,2.167512,1,11,11.4992695,0.074322306,3.8069427,34,5,0.7026449,0.016591758,60.005367,69,35,35,1,"dicot","11","6"
"128","dicot-sim-11-7-20.rsml",38.072254,3.1326666,10.998199,2.3399227,1,11,11.499951,0.07271286,3.2008076,27,11,0.98415965,0.016540466,61.74328,55,28,28,1,"dicot","11","7"
"129","dicot-sim-11-8-20.rsml",39.942802,2.54,10.998199,2.2586844,1,11,11.499644,0.07295242,3.582892,32,12,0.8888488,0.01659422,63.07558,65,33,33,1,"dicot","11","8"
"130","dicot-sim-11-9-20.rsml",36.005226,2.3452666,10.998199,2.2663949,1,11,11.499814,0.07363887,2.9942267,26,14,0.94251597,0.016933339,63.811157,53,27,27,1,"dicot","11","9"
"131","dicot-sim-110-1-20.rsml",40.16952,1.6764,21.996399,2.3810797,1,22,22.499756,0.03653628,1.6672691,18,7,0.98165345,0.011562177,58.211563,37,19,19,1,"dicot","110","1"
"132","dicot-sim-110-10-20.rsml",39.8507,1.8372667,21.996399,2.2760177,1,22,22.499989,0.037567846,1.6049242,17,4,1.0206305,0.01229844,56.89864,35,18,18,1,"dicot","110","10"
